Название,Компания,Локация,Зарплата,Описание,Требования,Обязанности,Навыки,Ссылка
Разработчик C#,Bip.ru,Москва,Не указана,"Мы группа компаний, 12 лет создающая и развивающая популярные web и мобильные приложения для автолюбителей, которые на данный момент установили более 40 миллионов раз. У нас опытные разработчики, data-driven подход и гибкий процесс работы. Кого мы ищем: нам нужен C# разработчик, который будет развивать backend наших платежных решений и приложения для проверки и оплаты штрафов и платных дорог для ООО МПП (“Мобильные Платежные Приложения”). Мы расширяем команду, потому что у нас очень много крутых идей, но мало рук, чтобы реализовать их все. Технологический стек: .NET 9+, C#, PostgreSQL, Entity Framework, Redis, RabbitMQ, Kubernetes. Немного о продукте: Это сервисы, которые собирают и аккумулируют большое количество информации, позволяя автовладельцу оперативно увидеть штраф или другое начисление, посмотреть его детали и оплатить. Средний рейтинг приложения в сторах 4.8, более полутора миллионов оценок от пользователей. Сейчас 15% всех автовладельцев России оплачивают штрафы через наш сервис.  масштабируемая отказоустойчивая система с высокой пропускной способностью на базе микросервисной архитектуры; нагрузка: десятки миллионов активных пользователей, 700 тысяч человек ежедневно, сотни миллионов задач, запускающихся по расписанию; сервера в облаках, микросервисы, мониторинг, CI/CD, unit-тесты; кодовая база, постоянно поддерживаемая в актуальном состоянии.  Что нужно будет делать:  разрабатывать новый функционал для backend; проектировать и реализовывать новые микросервисы; участвовать в принятии технических решений и планировании процесса разработки; решать вопросы оптимизации производительности на всех уровнях приложений; проводить code-review.  Какие этапы собеседования мы проводим:  Скрининг с HR (30 минут); Техническое интервью с инженером (1,5 часа); Техническое интервью с архитектором (1,5 часа)  Как правило, кандидат все этапы проходит за неделю. Пожелания к опыту работы:  опыт коммерческой разработки на C# от 3 лет; опыт работы с любой современной реляционной СУБД; опыт создания Web API; понимание основных принципов работы высоконагруженных приложений; понимание, что такое CI, и зачем он нужен; умение писать unit-тесты, а также понимание, зачем они нужны.  У нас:  официальное трудоустройство в аккредитованной ИТ-компании; нет переработок и горящих дедлайнов, отдаём предпочтение хорошим решениям и никуда не спешим; ДМС c первого рабочего дня для сотрудника; компенсация питания в сервисе Яндекс Go с чеком 1300 руб./день; техника и ПО на выбор; обучение, книги и курсы; оплачиваем конференции; релокационный пакет. Оплатим дорогу и первый месяц аренды квартиры в Москве в размере 40 тысяч рублей; в последний четверг месяца делаем что-нибудь вместе: вечером идем на занятие по скалолазанию, фехтованию или игре на джембе - идей масса, а завершаем вечер в баре. Два раза в год устраиваем большой корпоратив; удобный офис. Он расположен в современном БЦ Manhattan в 5 минутах ходьбы от Бауманской или в 10 минутах от Красносельской. Разделен на тихую рабочую зону и лаунж с переговорками, кухней, диванами; возможность работать удаленно; удобный график. Начинаем работу в интервале с 8 до 11 утра.","нам нужен C# разработчик, который будет развивать backend наших платежных решений и приложения для проверки и оплаты штрафов и платных дорог для ООО МПП (“Мобильные Платежные Приложения”). Мы расширяем команду, потому что у нас очень много крутых идей, но мало рук, чтобы реализовать их все. Технологический стек: .NET 9+, C#, PostgreSQL, Entity Framework, Redis, RabbitMQ, Kubernetes. Немного о продукте: Это сервисы, которые собирают и аккумулируют большое количество информации, позволяя автовладельцу оперативно увидеть штраф или другое начисление, посмотреть его детали и оплатить. Средний рейтинг приложения в сторах 4.8, более полутора миллионов оценок от пользователей. Сейчас 15% всех автовладельцев России оплачивают штрафы через наш сервис.  масштабируемая отказоустойчивая система с высокой пропускной способностью на базе микросервисной архитектуры; нагрузка: десятки миллионов активных пользователей, 700 тысяч человек ежедневно, сотни миллионов задач, запускающихся по расписанию; сервера в облаках, микросервисы, мониторинг, CI/CD, unit-тесты; кодовая база, постоянно поддерживаемая в актуальном состоянии.  Что нужно будет делать:  разрабатывать новый функционал для backend; проектировать и реализовывать новые микросервисы; участвовать в принятии технических решений и планировании процесса разработки; решать вопросы оптимизации производительности на всех уровнях приложений; проводить code-review.  Какие этапы собеседования мы проводим:  Скрининг с HR (30 минут); Техническое интервью с инженером (1,5 часа); Техническое интервью с архитектором (1,5 часа)  Как правило, кандидат все этапы проходит за неделю. Пожелания к опыту работы:  опыт коммерческой разработки на C# от 3 лет; опыт работы с любой современной реляционной СУБД; опыт создания Web API; понимание основных принципов работы высоконагруженных приложений; понимание, что такое CI, и зачем он нужен; умение писать unit-тесты, а также понимание, зачем они нужны.  У нас:  официальное трудоустройство в аккредитованной ИТ-компании; нет переработок и горящих дедлайнов, отдаём предпочтение хорошим решениям и никуда не спешим; ДМС c первого рабочего дня для сотрудника; компенсация питания в сервисе Яндекс Go с чеком 1300 руб./день; техника и ПО на выбор; обучение, книги и курсы; оплачиваем конференции; релокационный пакет. Оплатим дорогу и первый месяц аренды квартиры в Москве в размере 40 тысяч рублей; в последний четверг месяца делаем что-нибудь вместе: вечером идем на занятие по скалолазанию, фехтованию или игре на джембе - идей масса, а завершаем вечер в баре. Два раза в год устраиваем большой корпоратив; удобный офис. Он расположен в современном БЦ Manhattan в 5 минутах ходьбы от Бауманской или в 10 минутах от Красносельской. Разделен на тихую рабочую зону и лаунж с переговорками, кухней, диванами; возможность работать удаленно; удобный график. Начинаем работу в интервале с 8 до 11 утра.",,,https://iskitim.hh.ru/vacancy/129471202?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
C#/.NET-разработчик,Консорциум Кодекс,Санкт-Петербург,Не указана,"Консорциум ""Кодекс"" - лидер рынка информационных услуг по разработке уникальных IT-решений под брендом ""Техэксперт"", закрывающих все потребности специалистов российских предприятий в профессиональной информации. Более 30 лет мы успешно внедряем информационные технологии в сфере управления нормативно-технической документацией. Нам доверяют крупнейшие предприятия России. Основные задачи:  Доработка старого функционала с учетом новых требований; Выделение из старого монолитного кода логических блоков в отдельные микросервисы; Интеграция с различными сервисами партнеров: взаимодействие с различными внешними API и доработка/ разработка собственного API.  Необходимый опыт и навыки:  Знания платформы .Net и языка C#; Понимание шаблонов и принципов проектирования; Работа с ORM библиотеками и различными СУБД (MS SQL Server, PostgreSQL); Опыт командной разработки, работа с GitLab.  Будет преимуществом:  Опыт работы с docker, kubernetes, web API, ASP.NET, Dapper, EF Core , Helm (templating), Clickhouse, RabbitMQ, PHP, NuGet; Понимание процессов CI/CD.  Наши условия:  Входим в список IT лицензированных аккредитованных компаний; Современный комфортабельный офис в центре города (м. Василеостровская); Интересные и разнообразные проекты, современные технологии; Официальное оформление по ТК РФ; График 5/2 с 09.30. до 18.00ч (с возможностью частично удаленного формата после прохождения испытательного срока); Приятные корпоративные активности: компенсация фитнеса, занятия по шахматам с тренером, настольный теннис.",,,,https://iskitim.hh.ru/vacancy/128637745?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
Ведущий разработчик C# (.NET),АО Березка,Москва,Не указана,"Обязанности:  Проектирование и разработка масштабируемых микросервисов и распределенных систем на .NET 9. Работа с большими данными, интеграциями и высокими объёмами транзакционного/событийного трафика. Участие в проектировании архитектуры новых систем и сервисов, выбор технологических стеков, паттернов интеграции и стратегий хранения данных. Оценка и декомпозиция задач, планирование работ разработчиков, спринтов, участие в управлении инженерными процессами. Проактивное участие в развитии команды и внедрения новых технологий и практик. Выстраивание коммуникации с PO, стейкхолдерами и смежными командами. Плотное сотрудничество с продуктовой и инженерной командами для принятия архитектурных и процессных решений. Оптимизация запросов и проектирование схем в СУБД. Проведение код-ревью, поддержание лучших практик и обеспечение покрытия тестами. Профилирование, поиск узких мест и оптимизация высоконагруженных участков системы. Отслеживание и работа по улучшению ключевых метрик производственного процесса.  Требования:  Опыт: от 3 лет коммерческой разработки на .NET (C#), из них минимум 2 года на позициях Senior уровня. Современный стек: Глубокое знание .NET 9/ Чистый код: Практическое применение лучших инженерных практик и паттернов. Архитектура: Опыт построения распределенных и отказоустойчивых систем (Microservices). Понимание CQRS + Mediator. Базы данных: Уверенное владение PostgreSQL (оптимизация запросов, индексы, транзакции, изоляция, артиционирование, шардирование). Опыт работы с NoSQL (Redis, MongoDB). Опыт работы с EF. Брокеры сообщений: Продвинутый опыт работы с RabbitMQ (получатели, продюсеры, обменник, очереди). API и интеграции: Опыт реализации и поддержки API на базе REST. Поиск: elasticsearch. Cloud & DevOps: Понимание принципов CI/CD, контейнеризации (Docker, Kubernetes).  Важно:  Системное мышление: Умение видеть картину целиком, а не только в рамках своей задачи. Коммуникация: Умение вести конструктивный диалог, аргументированно отстаивать технические решения и находить компромиссы. Ответственность: Готовность брать на себя ответственность за принятые архитектурные решения и работу команды. Обучаемость: Желание изучать новые технологии и делиться знаниями с командой. Лидерство: Способность вести за собой, мотивировать команду и брать на себя роль лидера.  Будет преимуществом:  Опыт работы по интеграции с ЕИС. Опыт работы на стороне ЭТП/ВСРЗ. AI в разработке: Активное использование LLM и ИИ-инструментов в производственном процессе (генерация кода, код-ревью, формирование документация, оптимизация рутинных задач).  Условия:  В офисе: чай, кофе, дружелюбный коллектив. Пятидневная рабочая неделя: с 9-18 или с 10-19 (обсуждаемо). Белая заработная плата два раза в месяц. Команда: мотивированная команда профессионалов, работающая над социально значимым продуктом национального масштаба.","Опыт: от 3 лет коммерческой разработки на .NET (C#), из них минимум 2 года на позициях Senior уровня. Современный стек: Глубокое знание .NET 9/ Чистый код: Практическое применение лучших инженерных практик и паттернов. Архитектура: Опыт построения распределенных и отказоустойчивых систем (Microservices). Понимание CQRS + Mediator. Базы данных: Уверенное владение PostgreSQL (оптимизация запросов, индексы, транзакции, изоляция, артиционирование, шардирование). Опыт работы с NoSQL (Redis, MongoDB). Опыт работы с EF. Брокеры сообщений: Продвинутый опыт работы с RabbitMQ (получатели, продюсеры, обменник, очереди). API и интеграции: Опыт реализации и поддержки API на базе REST. Поиск: elasticsearch. Cloud & DevOps: Понимание принципов CI/CD, контейнеризации (Docker, Kubernetes).  Важно:  Системное мышление: Умение видеть картину целиком, а не только в рамках своей задачи. Коммуникация: Умение вести конструктивный диалог, аргументированно отстаивать технические решения и находить компромиссы. Ответственность: Готовность брать на себя ответственность за принятые архитектурные решения и работу команды. Обучаемость: Желание изучать новые технологии и делиться знаниями с командой. Лидерство: Способность вести за собой, мотивировать команду и брать на себя роль лидера.  Будет преимуществом:  Опыт работы по интеграции с ЕИС. Опыт работы на стороне ЭТП/ВСРЗ. AI в разработке: Активное использование LLM и ИИ-инструментов в производственном процессе (генерация кода, код-ревью, формирование документация, оптимизация рутинных задач).  Условия:  В офисе: чай, кофе, дружелюбный коллектив. Пятидневная рабочая неделя: с 9-18 или с 10-19 (обсуждаемо). Белая заработная плата два раза в месяц. Команда: мотивированная команда профессионалов, работающая над социально значимым продуктом национального масштаба.","Проектирование и разработка масштабируемых микросервисов и распределенных систем на .NET 9. Работа с большими данными, интеграциями и высокими объёмами транзакционного/событийного трафика. Участие в проектировании архитектуры новых систем и сервисов, выбор технологических стеков, паттернов интеграции и стратегий хранения данных. Оценка и декомпозиция задач, планирование работ разработчиков, спринтов, участие в управлении инженерными процессами. Проактивное участие в развитии команды и внедрения новых технологий и практик. Выстраивание коммуникации с PO, стейкхолдерами и смежными командами. Плотное сотрудничество с продуктовой и инженерной командами для принятия архитектурных и процессных решений. Оптимизация запросов и проектирование схем в СУБД. Проведение код-ревью, поддержание лучших практик и обеспечение покрытия тестами. Профилирование, поиск узких мест и оптимизация высоконагруженных участков системы. Отслеживание и работа по улучшению ключевых метрик производственного процесса.  Требования:  Опыт: от 3 лет коммерческой разработки на .NET (C#), из них минимум 2 года на позициях Senior уровня. Современный стек: Глубокое знание .NET 9/ Чистый код: Практическое применение лучших инженерных практик и паттернов. Архитектура: Опыт построения распределенных и отказоустойчивых систем (Microservices). Понимание CQRS + Mediator. Базы данных: Уверенное владение PostgreSQL (оптимизация запросов, индексы, транзакции, изоляция, артиционирование, шардирование). Опыт работы с NoSQL (Redis, MongoDB). Опыт работы с EF. Брокеры сообщений: Продвинутый опыт работы с RabbitMQ (получатели, продюсеры, обменник, очереди). API и интеграции: Опыт реализации и поддержки API на базе REST. Поиск: elasticsearch. Cloud & DevOps: Понимание принципов CI/CD, контейнеризации (Docker, Kubernetes).  Важно:  Системное мышление: Умение видеть картину целиком, а не только в рамках своей задачи. Коммуникация: Умение вести конструктивный диалог, аргументированно отстаивать технические решения и находить компромиссы. Ответственность: Готовность брать на себя ответственность за принятые архитектурные решения и работу команды. Обучаемость: Желание изучать новые технологии и делиться знаниями с командой. Лидерство: Способность вести за собой, мотивировать команду и брать на себя роль лидера.  Будет преимуществом:  Опыт работы по интеграции с ЕИС. Опыт работы на стороне ЭТП/ВСРЗ. AI в разработке: Активное использование LLM и ИИ-инструментов в производственном процессе (генерация кода, код-ревью, формирование документация, оптимизация рутинных задач).  Условия:  В офисе: чай, кофе, дружелюбный коллектив. Пятидневная рабочая неделя: с 9-18 или с 10-19 (обсуждаемо). Белая заработная плата два раза в месяц. Команда: мотивированная команда профессионалов, работающая над социально значимым продуктом национального масштаба.",,https://iskitim.hh.ru/vacancy/134683381?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
.NET-разработчик / C# Developer,АО Специализированный депозитарий ИНФИНИТУМ,Москва,Не указана,"АО «Специализированный депозитарий «ИНФИНИТУМ» — крупнейшая компания, работающая со всеми участниками рынка коллективных инвестиций, и один из лидеров спецдепозитарных услуг в России. Сейчас мы активно развиваем наши продукты и сервисы, усиливаем IT-направление и ищем в команду опытного .NET-разработчика, которому будет интересно участвовать в проектировании, разработке и развитии внутренних информационных систем. Чем предстоит заниматься:  ​​​​Проектировать и разрабатывать архитектуру информационных систем, микросервисов и интеграционных сервисов; Разрабатывать клиент-серверные приложения и сервисы на ASP.NET Core; Писать автотесты: unit, интеграционные и функциональные тесты; Исправлять баги и дорабатывать существующий функционал; Проводить code review; Участвовать во внедрении и сопровождении систем; Готовить техническую документацию; Предлагать решения по рефакторингу и развитию внутренних стандартов разработки; Взаимодействовать с бизнес-подразделениями и командой разработки.  Что для нас важно:  Коммерческий опыт разработки на платформе .NET от 3 лет; Опыт разработки на ASP.NET Core; Опыт работы с реляционными базами данных: PostgreSQL, MS SQL или аналогичными; Уверенное знание C#, .NET и выбранного стека технологий; Понимание принципов ООП, SOLID, DRY, KISS; Опыт работы с многопоточным и асинхронным кодом; Опыт разработки с использованием микросервисной архитектуры; Опыт работы с брокерами сообщений: RabbitMQ, Kafka; Опыт написания unit-тестов, интеграционных и функциональных тестов; Знание инструментов мониторинга и логирования: Prometheus, Grafana, OpenSearch; Базовое понимание CI/CD: Docker, Jenkins, GitFlow, Kubernetes.  Мы предлагаем:  Работу в стабильной и надежной компании, которая уже 26 лет занимает лидирующие позиции на рынке; Удаленный формат работы из любой точки РФ или гибридный формат — на выбор; Комфортные современные офисы в Москве и Санкт-Петербурге; Работу в аккредитованной IT-компании; График работы 5/2: с 9:00 до 18:00 или с 10:00 до 19:00; Официальную заработную плату; Оформление с первого рабочего дня и полное соблюдение ТК РФ; Социальный пакет; Возможности для профессионального роста, развития и самореализации; Дружную команду и насыщенную корпоративную жизнь.    Будем рады познакомиться с вами и обсудить возможности сотрудничества!",,"​​​​Проектировать и разрабатывать архитектуру информационных систем, микросервисов и интеграционных сервисов; Разрабатывать клиент-серверные приложения и сервисы на ASP.NET Core; Писать автотесты: unit, интеграционные и функциональные тесты; Исправлять баги и дорабатывать существующий функционал; Проводить code review; Участвовать во внедрении и сопровождении систем; Готовить техническую документацию; Предлагать решения по рефакторингу и развитию внутренних стандартов разработки; Взаимодействовать с бизнес-подразделениями и командой разработки.  Что для нас важно:  Коммерческий опыт разработки на платформе .NET от 3 лет; Опыт разработки на ASP.NET Core; Опыт работы с реляционными базами данных: PostgreSQL, MS SQL или аналогичными; Уверенное знание C#, .NET и выбранного стека технологий; Понимание принципов ООП, SOLID, DRY, KISS; Опыт работы с многопоточным и асинхронным кодом; Опыт разработки с использованием микросервисной архитектуры; Опыт работы с брокерами сообщений: RabbitMQ, Kafka; Опыт написания unit-тестов, интеграционных и функциональных тестов; Знание инструментов мониторинга и логирования: Prometheus, Grafana, OpenSearch; Базовое понимание CI/CD: Docker, Jenkins, GitFlow, Kubernetes.  Мы предлагаем:  Работу в стабильной и надежной компании, которая уже 26 лет занимает лидирующие позиции на рынке; Удаленный формат работы из любой точки РФ или гибридный формат — на выбор; Комфортные современные офисы в Москве и Санкт-Петербурге; Работу в аккредитованной IT-компании; График работы 5/2: с 9:00 до 18:00 или с 10:00 до 19:00; Официальную заработную плату; Оформление с первого рабочего дня и полное соблюдение ТК РФ; Социальный пакет; Возможности для профессионального роста, развития и самореализации; Дружную команду и насыщенную корпоративную жизнь.    Будем рады познакомиться с вами и обсудить возможности сотрудничества!",,https://iskitim.hh.ru/vacancy/134807795?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
Разработчик C# .Net,ООО Верста,Санкт-Петербург,Не указана,"Ищем бойца в команду разработки, стремящегося научиться делать софт для бизнеса в сфере логистики и интернет торговли и через два года стать синьором. Нужно любить писать код и иметь базовые знания в C#. У вас будет возможность изучить современный стек: .net, базы данных, микросервисы, фронт и бэк. Мы используем связку стека Microsoft (.NET 10, EntityFramework) и OpenSource (PostgreSQL, Kafka, React.JS) и не боимся экспериментировать с самыми современными технологиями.Что надо делать:- Наполнять наш Личный кабинет новыми сервисами и возможностями- Подключать новые каналы обслуживания (чат-боты, мобильные приложения)- Интегрировать сервисы в личный кабинет и с бэк-офисными системами- Строить идеальную систему, которая умеет работать сама без участия человека:)Мы ожидаем:- Базовые знания C#- Базовые знания ASP.NET, Entity Framework- Базовые знания реляционных Баз данныхДополнительным плюсом будет:- Умение работать с git, Jira- Опыт работы с Docker- Базовые знания React.JSМы предлагаем: - Работа в креативной команде профессионалов - Широкие возможности для профессионального развития и интересные задачи - Возможность гибридного графика после испытательного срока - Официальное оформление по ТК РФ - Возможность изучать английский язык за счет компании - Полис ДМС после испытательного срока - Уютный офис в самом центре Петербурга, чай, кофе",,,,https://iskitim.hh.ru/vacancy/134661421?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
Разработчик C# (middle\senior),Versus LLC,"Ижевск, р-н Первомайский",Не указана,"Разработчик C# со знанием C++ (middle\senior) Обязанности:  Разработка и сопровождение программных решений для поставки, лицензирования, защиты от обхода лицензий, несанкционированного копирования различного ПО. Обеспечение функционирования обмена данными внутри локальных компонентов и с внешними системами. Их обработка в реальном времени. Реализация механизмов корректировки параметров и настроек. Разработка компонентов для валидации и шифрования данных Настройка пайплайнов CI/CD Создание пользовательского интерфейса для взаимодействия с системой и управления её функционалом. Взаимодействие с командой для интеграции решений, тестирования и отладки. Поддержка архитектуры системы, обеспечение ее надежности, безопасности и масштабируемости. Подготовка кода к интеграционным и юнит-тестам, реализация алгоритмов авто-тестирования Ежедневное общение с командой, взаимодействие по процессам Agile/Scrum; Работа с задачами в Jira, документацией в Confluence и кодом в GitLab.  Требования:  Опыт разработки на платформе .NET (C#) не менее 5 лет. Опыт создания собственных библиотек на C++. Навыки интеграции библиотек в существующие проекты. Опыт применения современных криптографических протоколов и алгоритмов (AES, RSA, ECC). Понимание принципов работы симметричного и асимметричного шифрования. Практические навыки безопасного управления ключами (Key Management) и солями. Опыт реализации сложных бизнес-логик и автоматизированных процессов. Опыт работы с системами обмена данными, взаимодействия с аппаратной частью и внешними системами. Знание REST API, WebSocket, TCP/IP, UDP. Навыки работы с системами контроля версий, автоматизации сборки и тестирования. Умение писать чистый, хорошо документированный и структурированный код. Владение инструментами Git, Jira, Confluence, схожим стеком. Долгосрочное сотрудничество от 1 года.  Будет преимуществом:  Опыт проектирования сетевой архитектуры Опыт работы с Concurrency C#. Асинхронность, многопоточность, контроль, безопасность.  Условия:  Работа в аккредитованной IT компании. Работа с крупным заказчиком по согласованному Roadmap. Команда профессионалов открытую к идеям и обмену опытом. Белая заработная плата, уровень по результатам собеседований. Работа в офисе или удаленно с возможностью командировок в г.Ижевск. Компенсация затрат на командировки в головной офис. Комфортный офис: рабочее место с мощным ПК, обеденная зона, кофе, парковка. Испытательный срок 2-4 месяца.  Напишите последние 3 проекта, компании и роли в комментарий на отклик. Спасибо и успехов в достижении поставленных целей!","Опыт разработки на платформе .NET (C#) не менее 5 лет. Опыт создания собственных библиотек на C++. Навыки интеграции библиотек в существующие проекты. Опыт применения современных криптографических протоколов и алгоритмов (AES, RSA, ECC). Понимание принципов работы симметричного и асимметричного шифрования. Практические навыки безопасного управления ключами (Key Management) и солями. Опыт реализации сложных бизнес-логик и автоматизированных процессов. Опыт работы с системами обмена данными, взаимодействия с аппаратной частью и внешними системами. Знание REST API, WebSocket, TCP/IP, UDP. Навыки работы с системами контроля версий, автоматизации сборки и тестирования. Умение писать чистый, хорошо документированный и структурированный код. Владение инструментами Git, Jira, Confluence, схожим стеком. Долгосрочное сотрудничество от 1 года.  Будет преимуществом:  Опыт проектирования сетевой архитектуры Опыт работы с Concurrency C#. Асинхронность, многопоточность, контроль, безопасность.  Условия:  Работа в аккредитованной IT компании. Работа с крупным заказчиком по согласованному Roadmap. Команда профессионалов открытую к идеям и обмену опытом. Белая заработная плата, уровень по результатам собеседований. Работа в офисе или удаленно с возможностью командировок в г.Ижевск. Компенсация затрат на командировки в головной офис. Комфортный офис: рабочее место с мощным ПК, обеденная зона, кофе, парковка. Испытательный срок 2-4 месяца.  Напишите последние 3 проекта, компании и роли в комментарий на отклик. Спасибо и успехов в достижении поставленных целей!","Разработка и сопровождение программных решений для поставки, лицензирования, защиты от обхода лицензий, несанкционированного копирования различного ПО. Обеспечение функционирования обмена данными внутри локальных компонентов и с внешними системами. Их обработка в реальном времени. Реализация механизмов корректировки параметров и настроек. Разработка компонентов для валидации и шифрования данных Настройка пайплайнов CI/CD Создание пользовательского интерфейса для взаимодействия с системой и управления её функционалом. Взаимодействие с командой для интеграции решений, тестирования и отладки. Поддержка архитектуры системы, обеспечение ее надежности, безопасности и масштабируемости. Подготовка кода к интеграционным и юнит-тестам, реализация алгоритмов авто-тестирования Ежедневное общение с командой, взаимодействие по процессам Agile/Scrum; Работа с задачами в Jira, документацией в Confluence и кодом в GitLab.  Требования:  Опыт разработки на платформе .NET (C#) не менее 5 лет. Опыт создания собственных библиотек на C++. Навыки интеграции библиотек в существующие проекты. Опыт применения современных криптографических протоколов и алгоритмов (AES, RSA, ECC). Понимание принципов работы симметричного и асимметричного шифрования. Практические навыки безопасного управления ключами (Key Management) и солями. Опыт реализации сложных бизнес-логик и автоматизированных процессов. Опыт работы с системами обмена данными, взаимодействия с аппаратной частью и внешними системами. Знание REST API, WebSocket, TCP/IP, UDP. Навыки работы с системами контроля версий, автоматизации сборки и тестирования. Умение писать чистый, хорошо документированный и структурированный код. Владение инструментами Git, Jira, Confluence, схожим стеком. Долгосрочное сотрудничество от 1 года.  Будет преимуществом:  Опыт проектирования сетевой архитектуры Опыт работы с Concurrency C#. Асинхронность, многопоточность, контроль, безопасность.  Условия:  Работа в аккредитованной IT компании. Работа с крупным заказчиком по согласованному Roadmap. Команда профессионалов открытую к идеям и обмену опытом. Белая заработная плата, уровень по результатам собеседований. Работа в офисе или удаленно с возможностью командировок в г.Ижевск. Компенсация затрат на командировки в головной офис. Комфортный офис: рабочее место с мощным ПК, обеденная зона, кофе, парковка. Испытательный срок 2-4 месяца.  Напишите последние 3 проекта, компании и роли в комментарий на отклик. Спасибо и успехов в достижении поставленных целей!",,https://iskitim.hh.ru/vacancy/134805839?query=C%23+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list
